epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,7013.04,1.70185,1.66143,1.48028,0.12821,0.24263,0.10234,0.02733,2.66912,2.70835,2.43667,0.000597754,0.000597754,0.000597754
68,7051.09,1.70324,1.60055,1.44483,0.16415,0.27273,0.11649,0.03142,2.70856,2.67883,2.45419,0.000587551,0.000587551,0.000587551
69,7089.86,1.68012,1.59074,1.46856,0.15349,0.29697,0.11826,0.02911,2.67789,2.71357,2.42959,0.000577311,0.000577311,0.000577311
70,7127.16,1.72484,1.59601,1.4441,0.13964,0.18485,0.10192,0.02473,2.64496,2.82872,2.41861,0.00056704,0.00056704,0.00056704
71,7159.21,1.68543,1.57804,1.42142,0.15195,0.25606,0.12243,0.03114,2.63022,2.79031,2.38317,0.000556742,0.000556742,0.000556742
72,7185.15,1.65232,1.54311,1.40616,0.16849,0.29545,0.13667,0.03007,2.68616,2.67184,2.42556,0.000546421,0.000546421,0.000546421
73,7211.19,1.72171,1.57543,1.43272,0.15946,0.21667,0.11193,0.02797,2.6864,2.73376,2.41746,0.000536081,0.000536081,0.000536081
74,7236.38,1.61544,1.50162,1.41763,0.15403,0.23333,0.10301,0.02864,2.70908,2.76697,2.42167,0.000525728,0.000525728,0.000525728
75,7264.54,1.61926,1.50783,1.39716,0.1432,0.25152,0.10332,0.02682,2.75297,2.88463,2.44483,0.000515366,0.000515366,0.000515366
76,7294.28,1.69076,1.56869,1.42144,0.11729,0.24697,0.08768,0.02476,2.78322,2.81095,2.47716,0.000505,0.000505,0.000505
77,7320.62,1.58739,1.4066,1.34215,0.11525,0.24242,0.09846,0.02969,2.78847,2.79498,2.44489,0.000494634,0.000494634,0.000494634
78,7346.27,1.63782,1.492,1.37585,0.09872,0.20303,0.10205,0.03034,2.7921,2.79569,2.46772,0.000484272,0.000484272,0.000484272
79,7372.21,1.64989,1.54774,1.40294,0.12167,0.1697,0.0958,0.02853,2.7829,2.79353,2.54746,0.000473919,0.000473919,0.000473919
80,7398.07,1.66706,1.50261,1.40692,0.10113,0.19091,0.08793,0.02434,2.74704,2.809,2.52871,0.000463579,0.000463579,0.000463579
81,7423.77,1.61956,1.47648,1.39003,0.11764,0.21364,0.09751,0.02498,2.77758,2.71772,2.56066,0.000453258,0.000453258,0.000453258
82,7449.81,1.64364,1.53504,1.4149,0.15127,0.21667,0.10352,0.02647,2.75155,2.71199,2.51657,0.00044296,0.00044296,0.00044296
83,7476.02,1.62886,1.48531,1.39127,0.13914,0.25606,0.10668,0.02653,2.75512,2.7441,2.57196,0.000432689,0.000432689,0.000432689
84,7502.16,1.63016,1.46463,1.40285,0.13237,0.25,0.09984,0.02671,2.75496,2.74856,2.58721,0.000422449,0.000422449,0.000422449
85,7528.09,1.57912,1.45318,1.36116,0.10744,0.22727,0.0983,0.02688,2.78117,2.71697,2.58346,0.000412246,0.000412246,0.000412246
86,7554.46,1.55426,1.41893,1.35715,0.1045,0.21626,0.10162,0.0282,2.77886,2.76642,2.5578,0.000402084,0.000402084,0.000402084
87,7580.43,1.62771,1.49304,1.39695,0.13101,0.20152,0.10117,0.02663,2.73854,2.84315,2.58841,0.000391966,0.000391966,0.000391966
88,7607.34,1.6187,1.47235,1.40359,0.12478,0.25,0.0966,0.02626,2.75861,2.84688,2.6064,0.000381899,0.000381899,0.000381899
89,7632.35,1.60051,1.40807,1.35937,0.13127,0.27556,0.09719,0.02328,2.76657,2.83809,2.58576,0.000371885,0.000371885,0.000371885
90,7657.39,1.58027,1.44682,1.36103,0.11304,0.22727,0.09585,0.02589,2.7812,2.81478,2.50853,0.000361929,0.000361929,0.000361929
91,7684.23,1.61025,1.45214,1.36934,0.13058,0.21667,0.10033,0.02716,2.75035,2.88326,2.48346,0.000352037,0.000352037,0.000352037
92,7711.67,1.61718,1.46778,1.35897,0.14168,0.27966,0.09947,0.0267,2.70353,2.89679,2.47051,0.000342211,0.000342211,0.000342211
93,7737.77,1.60579,1.46558,1.37636,0.12932,0.25215,0.1017,0.02998,2.69909,2.86743,2.47257,0.000332457,0.000332457,0.000332457
94,7763.85,1.59265,1.43531,1.37313,0.13988,0.26515,0.10472,0.02761,2.73748,2.82437,2.51675,0.000322778,0.000322778,0.000322778
95,7789.72,1.5556,1.37777,1.32738,0.1398,0.25606,0.10812,0.02864,2.767,2.80953,2.56571,0.00031318,0.00031318,0.00031318
96,7819.07,1.5757,1.41469,1.36208,0.13145,0.24091,0.09927,0.02845,2.75605,2.81488,2.56561,0.000303665,0.000303665,0.000303665
97,7844.82,1.56926,1.41892,1.35944,0.13309,0.26515,0.10168,0.02731,2.74697,2.80476,2.55895,0.000294239,0.000294239,0.000294239
98,7870.93,1.56163,1.37301,1.33177,0.14024,0.21667,0.10578,0.02594,2.74774,2.81427,2.56798,0.000284906,0.000284906,0.000284906
99,7896.86,1.5662,1.38194,1.3628,0.12928,0.23939,0.10282,0.02471,2.73089,2.86953,2.53327,0.000275668,0.000275668,0.000275668
100,7922.7,1.5427,1.3091,1.29745,0.12932,0.27879,0.10403,0.02591,2.7671,2.88356,2.56388,0.000266532,0.000266532,0.000266532
101,7948.44,1.5064,1.27592,1.2878,0.12288,0.27121,0.09529,0.02291,2.7769,2.90328,2.56748,0.0002575,0.0002575,0.0002575
102,7974.76,1.53808,1.35039,1.33932,0.12928,0.27879,0.10383,0.02747,2.75655,2.90382,2.52051,0.000248577,0.000248577,0.000248577
103,8004.49,1.52635,1.32124,1.33242,0.14618,0.30303,0.11243,0.02922,2.76853,2.86188,2.5505,0.000239766,0.000239766,0.000239766
104,8029.97,1.54193,1.33278,1.35427,0.14674,0.29147,0.11528,0.03051,2.76369,2.8137,2.55114,0.000231071,0.000231071,0.000231071
105,8056.74,1.53319,1.3311,1.31345,0.14748,0.32166,0.10942,0.03077,2.75745,2.77438,2.55931,0.000222497,0.000222497,0.000222497
106,8084.09,1.52999,1.34842,1.32947,0.1372,0.27273,0.11064,0.02945,2.75798,2.83021,2.55374,0.000214046,0.000214046,0.000214046
107,8109.91,1.49801,1.33678,1.32633,0.12805,0.23939,0.10681,0.02497,2.7844,2.87016,2.55775,0.000205723,0.000205723,0.000205723
108,8135.7,1.51063,1.26241,1.29487,0.14699,0.27727,0.1133,0.02534,2.77607,2.858,2.55767,0.000197532,0.000197532,0.000197532
109,8161.27,1.51432,1.31226,1.32935,0.14601,0.30909,0.11511,0.02639,2.76376,2.83734,2.55483,0.000189475,0.000189475,0.000189475
110,8186.67,1.54564,1.36806,1.3436,0.13928,0.31061,0.10997,0.02648,2.75684,2.81278,2.55922,0.000181557,0.000181557,0.000181557
111,8212.11,1.52936,1.37689,1.36874,0.13553,0.26122,0.10623,0.02558,2.78803,2.8143,2.5984,0.00017378,0.00017378,0.00017378
112,8237.86,1.50744,1.2935,1.3106,0.15502,0.27397,0.10758,0.02392,2.81655,2.85601,2.63654,0.000166149,0.000166149,0.000166149
113,8263.87,1.58401,1.35649,1.33201,0.15005,0.26364,0.10832,0.02437,2.81643,2.86751,2.63436,0.000158667,0.000158667,0.000158667
114,8290.24,1.51654,1.33008,1.32843,0.14107,0.24091,0.10195,0.02521,2.80903,2.89368,2.58135,0.000151336,0.000151336,0.000151336
115,8316.93,1.49981,1.26259,1.27447,0.12727,0.2214,0.10192,0.02597,2.7925,2.90116,2.52501,0.000144161,0.000144161,0.000144161
116,8341.41,1.5308,1.3239,1.34378,0.15488,0.24091,0.10948,0.02803,2.77315,2.91866,2.50054,0.000137143,0.000137143,0.000137143
117,8369.26,1.50345,1.27388,1.27898,0.14724,0.24848,0.11181,0.02885,2.7703,2.91877,2.51342,0.000130287,0.000130287,0.000130287
118,8394.89,1.51422,1.32442,1.32785,0.1469,0.25606,0.10734,0.02795,2.76825,2.91079,2.54908,0.000123596,0.000123596,0.000123596
119,8420.48,1.52006,1.29242,1.31069,0.14506,0.25455,0.10443,0.02594,2.77933,2.91721,2.57333,0.000117072,0.000117072,0.000117072
120,8445.9,1.48965,1.25504,1.29718,0.13578,0.23939,0.10392,0.02544,2.78977,2.91636,2.59091,0.000110718,0.000110718,0.000110718
121,8471.43,1.54834,1.32175,1.33524,0.13516,0.25606,0.10395,0.02564,2.7926,2.91681,2.58889,0.000104537,0.000104537,0.000104537
122,8497.24,1.56475,1.38226,1.35447,0.12787,0.23333,0.1032,0.02509,2.79538,2.91272,2.57968,9.85311e-05,9.85311e-05,9.85311e-05
123,8522.76,1.48369,1.26877,1.28735,0.13674,0.25581,0.10879,0.0263,2.77478,2.92039,2.57738,9.2704e-05,9.2704e-05,9.2704e-05
124,8548.4,1.50171,1.2828,1.30838,0.13767,0.26515,0.10927,0.02713,2.76466,2.88458,2.57734,8.70577e-05,8.70577e-05,8.70577e-05
125,8573.88,1.50723,1.30803,1.33044,0.12925,0.26158,0.10881,0.02686,2.77028,2.8545,2.58788,8.15947e-05,8.15947e-05,8.15947e-05
126,8599.67,1.51739,1.27257,1.31244,0.13567,0.27702,0.11238,0.02758,2.77667,2.83742,2.60158,7.63174e-05,7.63174e-05,7.63174e-05
127,8625.34,1.48879,1.31422,1.3159,0.15013,0.26515,0.10878,0.02612,2.77558,2.8593,2.59487,7.12282e-05,7.12282e-05,7.12282e-05
